Listings,Series,Position Title,Number of Positions,Agency,Agency/Sub-Agency,State,Opening Date,Closing Date,Opening Length,GS-09,GS-11,GS-12,GS-13,Promotion Potential
108,1102,Contract Specialist,2,Department of Education,Department of Education / Office of the Chief Financial Officer,DC,2017-02-21,2017-03-06,13 days 00:00:00.000000000,True,True,True,False,GS-13
109,343,Program Analyst,1,Department of Education,Department of Education / Office of Elementary and Secondary Education,DC,2017-02-21,2017-03-06,13 days 00:00:00.000000000,True,True,True,False,GS-12
110,685,Public Health Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,DC,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,True,False,False,GS-13
110,685,Public Health Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,True,False,False,GS-13
111,89,Emergency Management Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,True,False,False,GS-12
112,1101,Export Policy Analyst,2,Department of Commerce,Department of Commerce / Bureau of Industry and Security,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,False,True,False,GS-13
113,685,Public Health Advisor,3,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-12
114,685,Public Health Analyst (Policy),1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,False,False,False,GS-12
115,301,Health Policy and Issues Management Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,False,True,False,False,GS-12
116,685,Public Health Analyst (Policy and Issues Management),2,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,False,False,False,GS-12
118,685,Public Health Analyst (Policy),1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,False,False,False,GS-12
119,1712,Training Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,False,False,True,False,GS-13
120,685,Public Health Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,False,True,False,False,GS-13
121,685,Public Health Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-21,2017-03-03,10 days 00:00:00.000000000,False,True,False,False,GS-12
123,601,Epidemiologist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,MD,2017-02-21,2017-03-03,10 days 00:00:00.000000000,True,False,False,False,GS-12
124,1320,Chemist,1,National Science Foundation,National Science Foundation,VA,2017-02-28,2017-03-08,8 days 00:00:00.000000000,False,True,False,False,GS-12
125,685,Public Health Analyst (Policy),1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-13
126,401,Biologist,1,National Science Foundation,National Science Foundation,VA,2017-02-28,2017-03-08,8 days 00:00:00.000000000,True,True,False,False,GS-12
127,685,Public Health Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-13
128,685,Public Health Analyst,4,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,False,False,False,GS-12
129,301,Regulatory Counsel,2,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-02-28,2017-03-14,14 days 00:00:00.000000000,False,True,False,False,GS-13
130,343,Management Analyst - Special Initiatives,1,African Development Foundation,African Development Foundation,DC,2017-04-21,2017-04-24,3 days 00:00:00.000000000,True,True,False,False,GS-11
131,1102,Contract Specialist,5,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,False,False,False,GS-12
132,601,Health Scientist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,False,False,False,GS-12
133,601,Health Scientist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-13
134,601,Health Scientist,3,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-12
135,343,Management and Operations Analyst,3,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-12
136,601,Health Scientist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,False,True,False,False,GS-12
137,685,Public Health Analyst,2,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,False,True,False,False,GS-12
138,685,Public Health Analyst (Policy and Issues Management),3,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,True,True,False,False,GS-12
139,343,Management and Program Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,False,True,True,False,GS-13
140,343,Management and Program Analyst,3,Department of Education,Department of Education / Office of Innovation and Improvement,DC,2017-02-22,2017-03-15,21 days 00:00:00.000000000,True,True,False,False,GS-12
142,511,Auditor,20,Department of Defense,Department of Defense / Defense Contract Audit Agency,VA,2017-02-22,2017-03-15,21 days 00:00:00.000000000,True,False,False,False,GS-12
143,301,Regulatory Counsel,1,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,False,False,GS-13
144,343,Management and Program Analyst,1,Department of Education,Department of Education / Office of the Deputy Secretary of Education,DC,2017-02-23,2017-03-06,11 days 00:00:00.000000000,True,True,False,False,GS-12
145,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,True,False,False,False,GS-12
146,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-07,7 days 00:00:00.000000000,True,False,False,False,GS-12
147,1801,Regulations Specialist,1,Department of the Treasury,Department of the Treasury / Alcohol and Tobacco Tax and Trade Bureau,DC,2017-02-24,2017-03-03,7 days 00:00:00.000000000,True,True,False,False,GS-12
149,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
150,630,Nutritionist,3,Department of Agriculture,Department of Agriculture / Food and Nutrition Service,VA,2017-02-23,2017-03-20,25 days 00:00:00.000000000,True,True,True,False,GS-13
151,630,Nutritionist,4,Department of Agriculture,Department of Agriculture,VA,2017-02-23,2017-03-14,19 days 00:00:00.000000000,True,True,True,False,GS-13
152,301,STIP Capacity Builder Program Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-17,17 days 00:00:00.000000000,False,True,False,False,GS-13
153,343,Management and Program Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-23,2017-03-03,8 days 00:00:00.000000000,True,False,False,False,GS-12
154,601,Health Scientist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-02-22,2017-03-03,9 days 00:00:00.000000000,False,True,False,False,GS-12
155,343,Management Analyst,2,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,False,False,GS-13
156,343,Management Analyst,2,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,DC,2017-02-23,2017-03-08,13 days 00:00:00.000000000,True,False,False,False,GS-11
157,343,Management and Program Analyst (MAPA),1,Department of Justice,Department of Justice / Federal Bureau of Investigation,DC,2017-02-24,2017-03-09,13 days 00:00:00.000000000,False,False,True,False,GS-13
158,601,Health Science Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,DC,2017-02-23,2017-03-09,14 days 00:00:00.000000000,False,False,True,False,GS-13
165,671,"Health System Specialist, Office of the Director",1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,CA,2017-02-27,2017-03-14,15 days 00:00:00.000000000,True,True,False,False,GS-12
166,343,Management and Program Analyst (MAPA),1,Department of Justice,Department of Justice / Federal Bureau of Investigation,DC,2017-02-24,2017-03-09,13 days 00:00:00.000000000,True,True,False,False,GS-13
169,2210,Information Technology Specialist (ITS),1,Department of Justice,Department of Justice / Federal Bureau of Investigation,DC,2017-02-24,2017-03-09,13 days 00:00:00.000000000,False,False,True,False,GS-13
170,560,Budget Analyst,3,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,True,False,False,GS-13
171,343,Management and Program Analyst (MAPA),1,Department of Justice,Department of Justice / Federal Bureau of Investigation,DC,2017-02-24,2017-03-09,13 days 00:00:00.000000000,False,True,True,False,GS-13
172,1515,Operations Research Analyst,3,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,True,False,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",FL,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",WA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",CA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",PA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",NY,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",MO,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",CA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",MI,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",CO,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",TX,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",IL,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",MA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",GA,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
173,301,Conciliation Specialist,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",TX,2017-02-24,2017-03-15,19 days 00:00:00.000000000,True,True,True,False,GS-13
174,301,Digital Technology Program Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-17,17 days 00:00:00.000000000,False,True,False,False,GS-13
175,301,Partnership Advisor,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
177,260,Equal Employment Opportunity Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-17,17 days 00:00:00.000000000,True,False,False,False,GS-13
178,343,Management and Program Analyst,3,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,True,False,False,GS-13
179,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,True,True,False,False,GS-13
180,671,Health System Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,DC,2017-02-24,2017-03-14,18 days 00:00:00.000000000,True,True,False,False,GS-12
181,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,MO,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
181,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,OH,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
181,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,UT,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
181,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,AL,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
182,1102,Contract Specialist,1,Department of Justice,Department of Justice / Federal Bureau of Investigation,DC,2017-02-24,2017-03-09,13 days 00:00:00.000000000,False,True,True,False,GS-13
183,343,Program Analyst,6,Department of Agriculture,Department of Agriculture / Food and Nutrition Service,VA,2017-02-24,2017-03-17,21 days 00:00:00.000000000,True,True,True,False,GS-13
184,671,Health Systems Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NY,2017-02-24,2017-03-10,14 days 00:00:00.000000000,False,True,False,False,GS-12
185,343,Management and Program Analyst (Data Analyst),1,Department of Agriculture,Department of Agriculture / Food Safety and Inspection Service,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,True,False,GS-13
